#
#"Frequency / GHz"	"Z1 [Real Part] - Impedance / Ohm"
#----------------------------------------------------
5.0000000000000	50.984638214111
5.0050000000000	50.984889984131
5.0100000000000	50.985145568848
5.0150000000000	50.985401153564
5.0200000000000	50.985656738281
5.0250000000000	50.985912322998
5.0300000000000	50.986167907715
5.0350000000000	50.986427307129
5.0400000000000	50.986682891846
5.0450000000000	50.986942291260
5.0500000000000	50.987201690674
5.0550000000000	50.987457275391
5.0600000000000	50.987716674805
5.0650000000000	50.987976074219
5.0700000000000	50.988239288330
5.0750000000000	50.988498687744
5.0800000000000	50.988758087158
5.0850000000000	50.989021301270
5.0900000000000	50.989280700684
5.0950000000000	50.989543914795
5.1000000000000	50.989807128906
5.1050000000000	50.990070343018
5.1100000000000	50.990333557129
5.1150000000000	50.990600585938
5.1200000000000	50.990863800049
5.1250000000000	50.991127014160
5.1300000000000	50.991394042969
5.1350000000000	50.991661071777
5.1400000000000	50.991924285889
5.1450000000000	50.992191314697
5.1500000000000	50.992458343506
5.1550000000000	50.992729187012
5.1600000000000	50.992996215820
5.1650000000000	50.993263244629
5.1700000000000	50.993534088135
5.1750000000000	50.993804931641
5.1800000000000	50.994071960449
5.1850000000000	50.994342803955
5.1900000000000	50.994613647461
5.1950000000000	50.994884490967
5.2000000000000	50.995159149170
5.2050000000000	50.995429992676
5.2100000000000	50.995700836182
5.2150000000000	50.995975494385
5.2200000000000	50.996250152588
5.2250000000000	50.996524810791
5.2300000000000	50.996799468994
5.2350000000000	50.997074127197
5.2400000000000	50.997348785400
5.2450000000000	50.997623443604
5.2500000000000	50.997901916504
5.2550000000000	50.998176574707
5.2600000000000	50.998455047607
5.2650000000000	50.998733520508
5.2700000000000	50.999011993408
5.2750000000000	50.999290466309
5.2800000000000	50.999568939209
5.2850000000000	50.999847412109
5.2900000000000	51.000125885010
5.2950000000000	51.000408172607
5.3000000000000	51.000686645508
5.3050000000000	51.000968933105
5.3100000000000	51.001251220703
5.3150000000000	51.001533508301
5.3200000000000	51.001815795898
5.3250000000000	51.002098083496
5.3300000000000	51.002384185791
5.3350000000000	51.002666473389
5.3400000000000	51.002952575684
5.3450000000000	51.003234863281
5.3500000000000	51.003520965576
5.3550000000000	51.003807067871
5.3600000000000	51.004093170166
5.3650000000000	51.004379272461
5.3700000000000	51.004669189453
5.3750000000000	51.004955291748
5.3800000000000	51.005241394043
5.3850000000000	51.005531311035
5.3900000000000	51.005821228027
5.3950000000000	51.006111145020
5.4000000000000	51.006401062012
5.4050000000000	51.006690979004
5.4100000000000	51.006980895996
5.4150000000000	51.007270812988
5.4200000000000	51.007564544678
5.4250000000000	51.007858276367
5.4300000000000	51.008148193359
5.4350000000000	51.008441925049
5.4400000000000	51.008735656738
5.4450000000000	51.009029388428
5.4500000000000	51.009323120117
5.4550000000000	51.009620666504
5.4600000000000	51.009914398193
5.4650000000000	51.010211944580
5.4700000000000	51.010505676270
5.4750000000000	51.010803222656
5.4800000000000	51.011100769043
5.4850000000000	51.011398315430
5.4900000000000	51.011695861816
5.4950000000000	51.011993408203
5.5000000000000	51.012294769287
5.5050000000000	51.012592315674
5.5100000000000	51.012893676758
5.5150000000000	51.013195037842
5.5200000000000	51.013492584229
5.5250000000000	51.013793945312
5.5300000000000	51.014099121094
5.5350000000000	51.014400482178
5.5400000000000	51.014701843262
5.5450000000000	51.015007019043
5.5500000000000	51.015308380127
5.5550000000000	51.015613555908
5.5600000000000	51.015918731689
5.5650000000000	51.016223907471
5.5700000000000	51.016529083252
5.5750000000000	51.016834259033
5.5800000000000	51.017139434814
5.5850000000000	51.017448425293
5.5900000000000	51.017753601074
5.5950000000000	51.018062591553
5.6000000000000	51.018371582031
5.6050000000000	51.018680572510
5.6100000000000	51.018989562988
5.6150000000000	51.019298553467
5.6200000000000	51.019607543945
5.6250000000000	51.019916534424
5.6300000000000	51.020229339600
5.6350000000000	51.020538330078
5.6400000000000	51.020851135254
5.6450000000000	51.021163940430
5.6500000000000	51.021476745605
5.6550000000000	51.021789550781
5.6600000000000	51.022102355957
5.6650000000000	51.022418975830
5.6700000000000	51.022731781006
5.6750000000000	51.023048400879
5.6800000000000	51.023361206055
5.6850000000000	51.023677825928
5.6900000000000	51.023994445801
5.6950000000000	51.024311065674
5.7000000000000	51.024627685547
5.7050000000000	51.024948120117
5.7100000000000	51.025264739990
5.7150000000000	51.025585174561
5.7200000000000	51.025901794434
5.7250000000000	51.026222229004
5.7300000000000	51.026542663574
5.7350000000000	51.026863098145
5.7400000000000	51.027183532715
5.7450000000000	51.027507781982
5.7500000000000	51.027828216553
5.7550000000000	51.028148651123
5.7600000000000	51.028472900391
5.7650000000000	51.028797149658
5.7700000000000	51.029121398926
5.7750000000000	51.029445648193
5.7800000000000	51.029769897461
5.7850000000000	51.030094146729
5.7900000000000	51.030418395996
5.7950000000000	51.030746459961
5.8000000000000	51.031074523926
5.8050000000000	51.031398773193
5.8100000000000	51.031726837158
5.8150000000000	51.032054901123
5.8200000000000	51.032382965088
5.8250000000000	51.032711029053
5.8300000000000	51.033042907715
5.8350000000000	51.033370971680
5.8400000000000	51.033702850342
5.8450000000000	51.034030914307
5.8500000000000	51.034362792969
5.8550000000000	51.034694671631
5.8600000000000	51.035026550293
5.8650000000000	51.035358428955
5.8700000000000	51.035694122314
5.8750000000000	51.036026000977
5.8800000000000	51.036361694336
5.8850000000000	51.036693572998
5.8900000000000	51.037029266357
5.8950000000000	51.037364959717
5.9000000000000	51.037700653076
5.9050000000000	51.038036346436
5.9100000000000	51.038372039795
