#
#"Frequency / GHz"	"S1,2 [Real/Imaginary Part] [Re]"	"S1,2 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
5.0000000000000	-0.038911842645006	0.10856982347836
5.0050000000000	-0.038300519684180	0.10890729145942
5.0100000000000	-0.037686542893132	0.10924132415209
5.0150000000000	-0.037069931516605	0.10957190182972
5.0200000000000	-0.036450704940497	0.10989900487314
5.0250000000000	-0.035828882691253	0.11022261377166
5.0300000000000	-0.035204484435269	0.11054270912406
5.0350000000000	-0.034577529978279	0.11085927163953
5.0400000000000	-0.033948039264736	0.11117228213867
5.0450000000000	-0.033316032377193	0.11148172155442
5.0500000000000	-0.032681529535666	0.11178757093305
5.0550000000000	-0.032044551097005	0.11208981143510
5.0600000000000	-0.031405117554247	0.11238842433636
5.0650000000000	-0.030763249535967	0.11268339102876
5.0700000000000	-0.030118967805624	0.11297469302141
5.0750000000000	-0.029472293260897	0.11326231194144
5.0800000000000	-0.028823246933017	0.11354622953502
5.0850000000000	-0.028171849986093	0.11382642766826
5.0900000000000	-0.027518123716433	0.11410288832815
5.0950000000000	-0.026862089551849	0.11437559362349
5.1000000000000	-0.026203769050973	0.11464452578579
5.1050000000000	-0.025543183902549	0.11490966717024
5.1100000000000	-0.024880355924731	0.11517100025658
5.1150000000000	-0.024215307064372	0.11542850765005
5.1200000000000	-0.023548059396298	0.11568217208226
5.1250000000000	-0.022878635122593	0.11593197641212
5.1300000000000	-0.022207056571858	0.11617790362677
5.1350000000000	-0.021533346198482	0.11641993684239
5.1400000000000	-0.020857526581893	0.11665805930519
5.1450000000000	-0.020179620425811	0.11689225439222
5.1500000000000	-0.019499650557493	0.11712250561233
5.1550000000000	-0.018817639926969	0.11734879660697
5.1600000000000	-0.018133611606275	0.11757111115113
5.1650000000000	-0.017447588788681	0.11778943315417
5.1700000000000	-0.016759594787909	0.11800374666071
5.1750000000000	-0.016069653037348	0.11821403585149
5.1800000000000	-0.015377787089264	0.11842028504422
5.1850000000000	-0.014684020613998	0.11862247869444
5.1900000000000	-0.013988377399167	0.11882060139636
5.1950000000000	-0.013290881348852	0.11901463788370
5.2000000000000	-0.012591556482783	0.11920457303058
5.2050000000000	-0.011890426935518	0.11939039185227
5.2100000000000	-0.011187516955615	0.11957207950609
5.2150000000000	-0.010482850904804	0.11974962129222
5.2200000000000	-0.0097764532571395	0.11992300265448
5.2250000000000	-0.0090683485981645	0.12009220918122
5.2300000000000	-0.0083585616240559	0.12025722660606
5.2350000000000	-0.0076471171407705	0.12041804080874
5.2400000000000	-0.0069340400631827	0.12057463781590
5.2450000000000	-0.0062193554142182	0.12072700380188
5.2500000000000	-0.0055030883239809	0.12087512508954
5.2550000000000	-0.0047852640288746	0.12101898815099
5.2600000000000	-0.0040659078707195	0.12115857960842
5.2650000000000	-0.0033450452958627	0.12129388623486
5.2700000000000	-0.0026227018542831	0.12142489495494
5.2750000000000	-0.0018989031986916	0.12155159284569
5.2800000000000	-0.0011736750836251	0.12167396713723
5.2850000000000	-0.00044704336453519	0.12179200521362
5.2900000000000	0.00028096600312832	0.12190569461352
5.2950000000000	0.0010103269648392	0.12201502303101
5.3000000000000	0.0017410133679221	0.12211997831627
5.3050000000000	0.0024729989624852	0.12222054847635
5.3100000000000	0.0032062574023578	0.12231672167587
5.3150000000000	0.0039407622460338	0.12240848623778
5.3200000000000	0.0046764869576193	0.12249583064404
5.3250000000000	0.0054134049077866	0.12257874353636
5.3300000000000	0.0061514893747324	0.12265721371687
5.3350000000000	0.0068907135451417	0.12273123014886
5.3400000000000	0.0076310505151565	0.12280078195745
5.3450000000000	0.0083724732913495	0.12286585843029
5.3500000000000	0.0091149547917029	0.12292644901823
5.3550000000000	0.0098584678465925	0.12298254333603
5.3600000000000	0.010602985199776	0.12303413116296
5.3650000000000	0.011348479509387	0.12308120244356
5.3700000000000	0.012094923348933	0.12312374728821
5.3750000000000	0.012842289208300	0.12316175597386
5.3800000000000	0.013590549494760	0.12319521894463
5.3850000000000	0.014339676533982	0.12322412681244
5.3900000000000	0.015089642571053	0.12324847035770
5.3950000000000	0.015840419771500	0.12326824052989
5.4000000000000	0.016591980222313	0.12328342844821
5.4050000000000	0.017344295932983	0.12329402540219
5.4100000000000	0.018097338836534	0.12330002285228
5.4150000000000	0.018851080790563	0.12330141243048
5.4200000000000	0.019605493578291	0.12329818594096
5.4250000000000	0.020360548909607	0.12329033536058
5.4300000000000	0.021116218422124	0.12327785283954
5.4350000000000	0.021872473682241	0.12326073070193
5.4400000000000	0.022629286186201	0.12323896144634
5.4450000000000	0.023386627361164	0.12321253774634
5.4500000000000	0.024144468566272	0.12318145245116
5.4550000000000	0.024902781093732	0.12314569858612
5.4600000000000	0.025661536169893	0.12310526935329
5.4650000000000	0.026420704956328	0.12306015813195
5.4700000000000	0.027180258550930	0.12301035847914
5.4750000000000	0.027940167988994	0.12295586413022
5.4800000000000	0.028700404244326	0.12289666899937
5.4850000000000	0.029460938230334	0.12283276718008
5.4900000000000	0.030221740801135	0.12276415294570
5.4950000000000	0.030982782752670	0.12269082074990
5.5000000000000	0.031744034823808	0.12261276522721
5.5050000000000	0.032505467697468	0.12252998119345
5.5100000000000	0.033267052001736	0.12244246364625
5.5150000000000	0.034028758310994	0.12235020776553
5.5200000000000	0.034790557147041	0.12225320891391
5.5250000000000	0.035552418980231	0.12215146263725
5.5300000000000	0.036314314230605	0.12204496466503
5.5350000000000	0.037076213269029	0.12193371091082
5.5400000000000	0.037838086418339	0.12181769747275
